,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,2018-12-13,ACC,EQ,1485.2,1499.45,1512.0,1481.55,1510.35,1500.85,1495.69,513401,76788839825000.0,19273,153875,0.2997
1,2018-12-14,ACC,EQ,1500.85,1530.5,1541.65,1490.0,1490.3,1497.65,1509.11,904595,136512890290000.02,42506,179799,0.1988
2,2018-12-17,ACC,EQ,1497.65,1504.0,1513.9,1495.05,1503.6,1502.0,1504.72,314649,47345829395000.0,17334,51073,0.1623
3,2018-12-18,ACC,EQ,1502.0,1499.8,1510.0,1490.35,1507.15,1501.25,1500.75,360523,54105658200000.0,12176,142759,0.396
4,2018-12-19,ACC,EQ,1501.25,1516.0,1573.0,1508.0,1547.3,1543.9,1546.96,1203558,186185155640000.0,41052,324060,0.2693
5,2018-12-20,ACC,EQ,1543.9,1538.3,1562.0,1528.85,1536.75,1537.25,1543.88,571408,88218502775000.0,19462,128251,0.22440000000000002
6,2018-12-21,ACC,EQ,1537.25,1534.9,1539.0,1481.0,1490.0,1490.05,1505.24,815286,122719762625000.0,25689,212401,0.2605
0,2018-12-13,ADANIENT,EQ,156.1,156.0,158.6,154.0,154.15,156.0,156.58,3499313,54792988340000.0,20136,241770,0.06910000000000001
1,2018-12-14,ADANIENT,EQ,156.0,156.0,157.9,154.1,157.0,157.1,155.9,3389589,52845290035000.0,19917,235044,0.0693
2,2018-12-17,ADANIENT,EQ,157.1,157.1,158.9,156.35,158.0,157.95,157.6,1595605,25146825645000.0,11049,133437,0.0836
3,2018-12-18,ADANIENT,EQ,157.95,157.7,159.75,156.2,158.1,158.05,158.14,1689582,26718242620000.0,10488,117265,0.0694
4,2018-12-19,ADANIENT,EQ,158.05,160.0,162.7,158.5,159.8,160.2,160.3,2312343,37066517375000.0,17551,204997,0.08869999999999999
5,2018-12-20,ADANIENT,EQ,160.2,159.4,162.5,158.4,158.95,159.25,160.12,2539589,40664334215000.0,13407,278144,0.1095
6,2018-12-21,ADANIENT,EQ,159.25,159.8,161.5,152.0,159.4,159.35,156.51,5335334,83505132435000.0,27266,460669,0.08630000000000002
0,2018-12-13,ADANIPORTS,EQ,374.45,374.9,376.45,370.0,371.05,371.05,371.69,2369770,88081768700000.0,54547,767647,0.3239
1,2018-12-14,ADANIPORTS,EQ,371.05,370.0,371.15,367.0,368.9,368.6,368.83,2380991,87818463355000.0,39059,1149356,0.4827
2,2018-12-17,ADANIPORTS,EQ,368.6,369.15,377.6,369.15,370.65,371.4,372.49,3175781,118293087084999.98,34776,940614,0.2962
